Clostridiales_Family_XIII._Incertae_Sedis,177
Ruminococcaceae,475
Peptococcaceae,9
Unclassified,231
Eubacteriaceae,17
Clostridiaceae,5
Syntrophomonadaceae,4
Halobacteroidaceae,11
