taxonomy,count
Betaproteobacteria,5
Bacteroidia,112
Gammaproteobacteria,13
Flavobacteriia,116
Spirochaetia,1
Coriobacteriia,12
Epsilonproteobacteria,238
Sphingobacteriia,6
Actinobacteria,177
Unclassified,629
Erysipelotrichia,39
Cytophagia,21
Mollicutes,4
Clostridia,929
Bacilli,169
Tissierellia,16
Alphaproteobacteria,8
Negativicutes,2
Deltaproteobacteria,3
